Date,Land Area,Price per m2,Price Total,Subdistrict,Regency,Land Area Category
2024-04-25,810.0,6493827.160493827,5260000000.0,Ungasan,Badung,medium
2024-04-25,296.0,16000000.0,4736000000.0,Seminyak,Badung,small
2024-04-25,900.0,6666666.666666667,6000000000.0,Umalas,Badung,medium
2024-04-25,2300.0,2200000.0,5060000000.0,Kusamba,Klungkung,large
2024-04-25,850.0,5500000.0,4675000000.0,Jimbaran,Badung,medium
2024-02-29,316.0,6000000.0,1896000000.0,Jimbaran,Badung,medium
2024-04-25,200.0,4250000.0,850000000.0,Padangsambian Kaja,Denpasar,small
2024-04-22,235.0,4500000.0,1057500000.0,Jimbaran,Badung,small
2024-01-30,2140.0,4500000.0,9630000000.0,Jimbaran,Badung,large
2024-02-29,200.0,3500000.0,700000000.0,Tanah Lot,Tabanan,small
2024-04-15,500.0,13000000.0,6500000000.0,Padangsambian Kelod,Denpasar,medium
2024-04-25,3900.0,6000000.0,23400000000.0,Goa Gong,Badung,large
2024-01-30,755.0,6500000.0,4907500000.0,Beraban,Tabanan,medium
2024-04-01,4890.0,2500000.0,12225000000.0,Saba,Gianyar,large
2024-01-30,200.0,5500000.0,1100000000.0,Ungasan,Badung,small
2024-02-29,935.0,7486631.016042781,7000000000.0,Ungasan,Badung,medium
2024-02-29,200.0,4000000.0,800000000.0,Ungasan,Badung,small
2024-02-29,210.0,4000000.0,840000000.0,Ungasan,Badung,small
2024-02-29,190.0,4250000.0,807500000.0,Ungasan,Badung,small
2024-02-29,1000.0,15000000.0,15000000000.0,Ungasan,Badung,medium
2024-04-08,3000.0,5500000.0,16500000000.0,Ungasan,Badung,large
2024-04-25,1860.0,5000000.0,9300000000.0,Ungasan,Badung,large
2024-04-25,1400.0,4500000.0,6300000000.0,Ungasan,Badung,medium
2024-04-25,300.0,4500000.0,1350000000.0,Benoa,Badung,small
2024-04-25,150.0,6500000.0,975000000.0,Sidakarya,Denpasar,small
2024-04-25,2000.0,7500000.0,15000000000.0,Ungasan,Badung,large
2024-01-30,122.0,13934426.229508197,1700000000.0,Seminyak,Badung,small
2024-04-25,1500.0,12000000.0,18000000000.0,Pecatu,Badung,medium
2024-01-30,1240.0,12500000.0,15500000000.0,Seminyak,Badung,medium
2024-03-30,1360.0,12500000.0,17000000000.0,Seminyak,Badung,medium
2024-04-25,3379.0,3500000.0,11826500000.0,Ubud,Gianyar,large
2024-04-25,135.0,4444444.444444444,600000000.0,Ungasan,Badung,small
2024-04-25,500.0,5000000.0,2500000000.0,Pecatu,Badung,medium
2024-04-25,200.0,2800000.0,560000000.0,Bongan,Tabanan,small
2024-04-25,2130.0,1000000.0,2130000000.0,Nusa Penida,Klungkung,large
2024-04-25,200.0,7000000.0,1400000000.0,Kuta Selatan,Badung,small
2024-04-25,300.0,3000000.0,900000000.0,Kemenuh,Gianyar,small
2024-04-25,455.0,7692307.692307692,3500000000.0,Nusa Dua,Badung,medium
2024-04-25,600.0,13500000.0,8100000000.0,Renon,Denpasar,medium
2024-04-25,500.0,9500000.0,4750000000.0,Renon,Denpasar,medium
2024-04-25,600.0,13500000.0,8100000000.0,Renon,Denpasar,medium
2024-04-25,471.0,8980891.719745224,4230000000.0000005,Jimbaran,Badung,medium
2024-04-25,350.0,6200000.0,2170000000.0,Panjer,Denpasar,medium
2024-04-25,800.0,6500000.0,5200000000.0,Jimbaran,Badung,medium
2024-04-25,2236.0,4300000.0,9614800000.0,Belalang,Tabanan,large
2024-01-30,549.0,15000000.0,8235000000.0,Pererenan,Badung,medium
2024-04-25,450.0,13333333.333333334,6000000000.0,Jimbaran,Badung,medium
2024-04-25,2300.0,5478260.869565218,12600000000.0,Ubud,Gianyar,large
2024-03-30,459.0,15000000.0,6885000000.0,Sanur,Denpasar,medium
2024-03-30,800.0,8000000.0,6400000000.0,Nusa Dua,Badung,medium
2024-04-25,124.0,6950000.0,861800000.0,Renon,Denpasar,small
2024-04-25,250.0,7500000.0,1875000000.0,Munggu,Badung,small
2024-04-25,600.0,13500000.0,8100000000.0,Renon,Denpasar,medium
2024-02-29,105.0,6190476.19047619,650000000.0,Denpasar Barat,Denpasar,small
2024-04-25,362.0,13500000.0,4887000000.0,Umalas,Badung,medium
2024-04-25,1700.0,7470588.235294118,12700000000.0,Tanah Lot,Tabanan,large
2024-04-25,1700.0,4247058.823529412,7220000000.0,Denpasar Barat,Denpasar,large
2024-04-25,1000.0,4500000.0,4500000000.0,Ungasan,Badung,medium
2023-11-01,1990.0,5527638.190954774,11000000000.0,Nusa Dua,Badung,large
2024-04-25,500.0,2000000.0,1000000000.0,Nusa Penida,Klungkung,medium
